GPA,gender,breakfast,calories_chicken,calories_day,calories_scone,coffee,comfort_food,comfort_food_reasons,comfort_food_reasons_coded,cook,comfort_food_reasons_coded_[0],cuisine,diet_current,diet_current_coded,drink,eating_changes,eating_changes_coded,eating_changes_coded1,eating_out,employment,ethnic_food,exercise,father_education,father_profession,fav_cuisine,fav_cuisine_coded,fav_food,food_childhood,fries,fruit_day,grade_level,greek_food,healthy_feeling,healthy_meal,ideal_diet,ideal_diet_coded,income,indian_food,italian_food,life_rewarding,marital_status,meals_dinner_friend,mother_education,mother_profession,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,soup,sports,thai_food,tortilla_calories,turkey_calories,type_sports,veggies_day,vitamins,waffle_calories,weight
4,Male,1,610,3,420,1,Sweets,"Sadness, ",2,1,2,1,Other,1,1,"Unhealthier Eating",1,3,3,2,4,1,2,Other,chinese,4,3,"chicken stir fry, spaghetti, chicken parmesan ",1,5,2,4,3,Other,Other,5,2,3,5,1,2,"1. pasta 2. spaghetti 3. chicken and rice ",2,Other,4,1,1,2,3,4,2,1,3,940,500,"Team Sport",5,1,760,140
3,Male,1,430,3,315,1,Snacks,"Stress, Boredom, Sadness, ",1,3,1,1,Other,1,2,Other,1,3,1,3,4,1,5,Other,italian,1,1,"Pasta, pizza, meatballs ",1,5,1,3,8,"Balanced Meal",Other,3,6,2,5,8,2,"pasta, chicken parm, tacos ",5,Teacher,3,1,1,4,2,3,1,1,4,725,500,"Team Sport",5,2,760,145
4,Male,2,720,4,420,2,"Fast Food","Stress, Boredom, ",2,2,2,nill,Vegetarian,2,2,"Healthier Eating",1,3,2,3,2,2,4,Other,italian,1,1,"Steak, Garlic and butter noodles, schnitzle",1,3,3,1,3,"Vegetarian Meal",Other,4,6,1,5,3,2,"Steak, pasta, burgers",4,Homemaker,4,2,1,3,1,3,2,2,5,1165,690,Other,5,1,1315,130
4,Male,1,610,3,980,2,Other,"Boredom, Sadness, ",2,3,2,1,Other,1,1,Other,1,8,1,2,5,2,4,Retired,italian,1,1,"Pizza and Spaghetti",2,5,3,5,3,"Vegetarian Meal",Other,1,3,5,5,2,2,"Pizza, Italian, anything chicken related",2,Homemaker,2,1,1,3,5,3,1,1,5,1165,500,"Team Sport",5,1,1315,140
4,Male,1,720,nill,420,2,Sweets,"Boredom, ",2,2,2,1,Vegetarian,1,1,Other,1,11,1,2,5,1,2,Other,italian,1,1,"Spaghetti ",2,5,3,3,5,"Balanced Meal",Other,3,5,4,5,2,2,"Spaghetti, steak, or chicken",4,Other,4,1,1,6,3,4,1,1,4,1165,690,Other,5,1,1315,140
3,Male,1,610,3,420,2,Sweets,"Stress, Boredom, Sadness, ",3,3,3,1,Other,1,1,"Healthier Eating",1,3,2,2,5,1,4,Other,italian,1,1,"salad, chicken, pizza",1,5,1,3,6,"Vegetarian Meal",Vegetarian,2,5,4,5,9,2,"Chicken, Spaghetti, Hamburgers",4,Other,4,1,2,4,3,3,1,2,4,940,500,Other,4,1,900,120
4,Male,2,610,3,420,1,Sweets,"Stress, Boredom, ",2,2,2,1,Other,2,2,"Decreased Eating",1,3,2,2,2,2,2,Farmer,american,5,3,"pizza, mashed potatoes, chocolate chip cookies",1,4,4,2,4,Other,Vegetarian,3,3,1,5,4,1,"chicken, steak, pizza",5,Other,3,2,1,3,1,4,2,1,1,1165,690,Other,2,2,1315,150
3,Female,2,265,2,420,1,Snacks,"Boredom, ",2,2,2,1,Other,2,2,Other,2,13,2,2,1,2,2,Farmer,american,5,2,"Pizza and wings ",1,3,4,1,4,Other,Other,7,3,1,4,5,2,"Steak, Pizza, Haddock ",5,Other,1,1,1,3,1,3,2,1,2,725,345,"Team Sport",2,2,900,200
3,Male,1,720,3,420,2,Sweets,"Stress, Boredom, ",1,2,1,1,Vegetarian,3,1,Other,1,2,2,2,3,1,2,Other,other,4,1,"tacos, pizza, chicken wing dip",2,5,2,4,8,"Balanced Meal",Other,3,5,3,4,8,2,"mexican chicken, hibachi chicken and rice, steak",2,Other,4,1,1,3,2,3,1,1,3,580,345,Other,4,1,1315,135
4,Female,1,720,3,420,2,Snacks,"Boredom, ",2,5,2,1,Other,2,2,Other,1,7,1,3,5,1,3,Other,chinese,4,1,"Sloppy joes",1,5,1,5,1,Other,Other,8,6,4,5,3,1,"Chicken and vegetables, Roast Beef, pasta",2,Other,4,1,1,3,4,2,1,1,5,1165,850,"Individual Sport",4,2,1315,145
3,Male,1,430,2,420,2,Sweets,"Sadness, ",7,3,7,1,Vegetarian,2,2,Other,1,3,3,2,4,2,2,Other,italian,1,3,"Spaghetti and Meatballs, Steak, and Burgers",1,3,1,3,4,"Vegetarian Meal",Vegetarian,2,4,3,5,1,1,"Salad, pasta, and ice cream",4,Other,2,1,1,3,3,3,1,2,4,1165,500,Other,2,1,900,130
4,Male,2,610,3,420,1,Sweets,"Boredom, Sadness, ",2,3,2,1,Other,2,2,Other,1,3,3,3,4,1,4,Other,italian,1,1,"chicken fingers, pasta, pizza",1,4,4,4,2,Other,Other,3,4,4,5,2,2,"steak, mashed potatoes, vegetables ",4,Other,2,1,3,5,4,4,2,1,4,725,500,"Team Sport",2,2,900,190
4,Male,1,720,3,420,2,Sweets,"Boredom, Sadness, ",3,1,3,1,Paleo,1,2,"Healthier Eating",2,5,2,3,5,1,4,Engineer,mexican,2,3,"Spaghetti and Pop-tarts",1,5,2,5,9,"Vegetarian Meal",Other,5,5,5,5,9,2,"Stuffed chicken breasts, spagetti carbonara, breakfast for dinner ",3,Other,5,1,1,3,4,2,1,1,5,725,690,Other,5,1,760,167
3,Male,1,265,3,315,2,Sweets,"Stress, ",1,3,1,1,Other,3,2,Other,1,2,3,2,3,3,5,Other,other,4,3,"Pasta, breakfast for dinner, pizza",1,5,1,4,7,Salads,Other,5,6,2,5,7,2,"Pasta, breakfast for dinner, pizza",3,"Medical Professional",3,1,2,3,3,3,1,2,3,580,500,Other,4,1,760,140
3,Male,1,610,3,420,2,Other,"Boredom, Sadness, ",2,2,2,1,Vegetarian,1,2,"Increased Eating",2,5,1,3,4,2,2,Other,chinese,4,3,"peanut butter and jelly, celery and peanut butter, hot pockets ",1,5,1,4,3,"Vegetarian Meal",Other,5,6,4,5,1,1,"Pizza, Chicken and rice and pasta",4,Business,5,1,1,3,3,4,1,1,4,580,500,"Team Sport",4,1,900,190
3,Female,1,720,3,420,1,"Fast Food","Sadness, ",3,4,3,1,Other,2,2,Other,1,3,2,2,3,1,4,Engineer,other,5,2,pizza,1,4,2,1,5,"Vegetarian Meal",Other,2,6,1,5,4,1,"Pasta, pizza, and chicken",5,Other,2,1,1,3,1,4,1,1,1,1165,690,Other,4,1,1315,155
3,Male,1,610,3,420,2,Snacks,"Stress, Boredom, ",1,3,1,nill,Other,2,1,"Healthier Eating",2,5,2,2,5,1,4,Other,chinese,4,1,"Jollof Rice, Bread, pasta ",2,5,3,4,7,Other,Vegetarian,2,3,5,5,1,1,"Rice with vegetables, chicken with pasta, salad",2,Teacher,5,1,2,3,4,3,1,2,5,1165,500,Other,5,1,900,129
4,Female,1,720,4,420,2,Sweets,"Boredom, ",2,4,2,nill,Vegetarian,1,2,"Healthier Eating",2,5,2,3,3,1,2,Other,italian,1,1,"Chinese food, pizza, chicken adobo",1,5,1,4,7,"Balanced Meal",Other,4,6,3,5,8,1,"any Chinese food, pasta, burgers",3,Other,2,1,1,4,3,4,2,1,3,1165,850,Other,4,1,1315,260
4,Male,2,610,2,420,2,"Fast Food","Stress, Boredom, ",2,2,2,1,Other,2,2,Other,1,3,3,2,2,2,5,Teacher,american,5,3,"Pasta, chicken, pizza ",1,2,3,1,5,"Vegetarian Meal",Vegetarian,2,6,1,4,2,2,"Pasta, chicken, pizza ",5,Teacher,3,2,3,3,1,3,1,2,1,725,500,Other,1,2,900,135
3,Female,2,720,nill,420,2,Sweets,"Stress, Boredom, Sadness, ",1,2,1,1,Vegetarian,2,2,"Healthier Eating",2,5,5,2,1,3,2,Other,other,5,1,"Steak, Chicken Tenders, Pizza",1,1,3,1,8,Salads,Vegetarian,3,3,1,5,1,2,"Chicken, Pork Chops, Steak",3,Other,2,1,1,3,1,4,1,1,1,1165,690,"Team Sport",4,2,900,190
3,Female,1,720,nill,420,2,Other,"Boredom, Sadness, ",2,4,2,1,Other,2,2,Other,1,2,2,3,5,3,5,Other,italian,1,1,"Spaghetti, Italian potato soup",1,4,1,4,6,"Vegetarian Meal",Vegetarian,2,4,5,5,6,1,"Salmon, hamburger surprise, Italian potato soup",4,Other,1,1,1,4,5,3,1,2,5,1165,690,Other,5,2,1315,165
4,Female,1,265,nill,420,2,Sweets,"Boredom, ",2,3,2,1,Other,2,2,Other,1,2,2,3,4,1,4,Other,american,5,3,"Macaroni and Cheese",1,4,3,4,10,"Vegetarian Meal",Other,6,5,3,5,10,2,"Pasta, fish, steak",4,Other,3,1,1,3,3,2,2,1,4,1165,690,Other,4,2,1315,184
4,Female,1,430,3,420,2,Sweets,"Sadness, ",7,2,7,2,Other,2,2,"Healthier Eating",2,5,2,2,4,2,2,Other,italian,1,3,Pizza,1,3,1,3,2,Other,Vegetarian,2,6,3,5,8,1,"Pizza, chicken, pasta",5,Teacher,2,1,2,3,3,6,1,2,3,725,500,"Team Sport",2,1,900,210
